对象,pattern,观点词,个数
油头,控油 效果-,好,1.0
购买,了 真的-,好,1.0
头发,一点-,不顺,1.0
头发,后 喜欢 这种-,干爽,1.0
追评,客服 服务态度 特别-,好,1.0
净屑,舒缓 的 还是 轻盈 控油 的 都 非常-,好,1.0
商品,气味 味道 好-,香,1.0
头发,比较-,软,1.0
洗发水,不仅 能-,有效,1.0
控油,效果 还是 很-,不错,1.0
头发,确实 很-,蓬松,2.0
不用,承受 满头 雪花 的-,痛苦,1.0
洗感,真的-,很棒,1.0
刷到,的 都 是 说-,容易,1.0
头发,也 不会 那么-,快,1.0
顺滑,用 洗完 头发+,好,1.0
物流,很-,顺畅,1.0
味道,轻盈+,蓬松,1.0
头发,油 的-,快,1.0
追评,清洁力 很-,强,1.0
头发,变得-,柔顺,5.0
去屑,的 效果 很-,不错,1.0
洗发水,让 我 告别 了 头发 油腻 的-,烦恼,1.0
吹干,后 头发 巨-,蓬松,1.0
体验,更加-,愉悦,1.0
客服,人员 也 很-,耐心,1.0
泡沫,的+,好,1.0
东西,还-,不错,2.0
闻到,了 很 香 很-,香,1.0
推荐,她 说-,挺好用,1.0
洗完,之后 很-,柔顺,1.0
祛油,能力 很-,强,1.0
妹子,来说 比较-,友好,1.0
吹干,后 头发-,柔顺,1.0
洗完,后 头发 有 很-,香,1.0
清洗,的 也 很-,干净,2.0
效果,真心-,不错,6.0
洗头,三天 没+,连续,1.0
头顶,发缝 成功-,秃,1.0
头发,都 觉得-,惊讶,1.0
洗起来,很-,不错,1.0
头发,感觉 也 很-,不错,1.0
去屑,效果 特别-,好,1.0
感觉,真的 太棒了 每 差 一步 都 是-,惊喜,1.0
味道,也 是 真的 很-,香,1.0
头发,感觉 好-,蓬松,1.0
洗发水,用 的 效果 非常-,好,1.0
控油,的 洗发水 特别-,好,1.0
追评,香味 很-,重,1.0
控油,效果 也 还-,不错,1.0
心情,的 让 人+,清新,1.0
控油,洗发水 很-,好,1.0
头发,以前 发质 很-,好,1.0
控油,洗完 头发 很-,清爽,1.0
头发,养护 的-,很好,1.0
追评,这款 洗发水 真的 令 我 感到-,惊喜,1.0
效果,蓬松+,确实,1.0
平价,用 着 不-,心疼,1.0
护发素,非常-,好,1.0
洗完,之后 头发 真的 很-,蓬松,1.0
洗发水,红书 入手 的+,小,1.0
油头,特别 特别-,友好,1.0
姐妹,干枯 毛躁 的+,容易,1.0
发膜,也 用 了 很-,不错,1.0
洗发水,还是 挺-,好,1.0
头发,控油-,蓬松,1.0
头皮屑,就-,少,1.0
洗发水,的 泡沫 细腻-,丰富,1.0
感觉,非常-,不错,2.0
洗发水,来说 控油 的 效果 还是-,不错,1.0
洗完,头 之后 也 很-,舒服,1.0
洗发水,朋友 给 我 推荐 了 这款+,幸好,2.0
发质,那种+,毛躁,1.0
气味,这 款 洗发水 真的 很-,不错,1.0
力度,还是 不错 的 不至于 洗完-,黏腻,1.0
头发,洗 后 很-,蓬松,1.0
控油,和 蓬松 的 都-,不错,1.0
销量,高 的 产品质量 都 比较-,差,1.0
留香,也-,不错,1.0
头发,柔顺-,蓬松,3.0
用过,最差-,最差,1.0
洗完,之后 头发 又 顺 又-,香,1.0
产品,真心-,不错,1.0
广告,做 点+,少,1.0
去屑,效果-,好,5.0
洗发水,家里+,正好,1.0
吹干,巨-,蓬松,1.0
头发,掉 得-,好,1.0
洗完,感觉 头皮-,很痒,1.0
追评,这款 洗发水 特别-,好,1.0
油腻,不+,柔软,2.0
头发,不会-,很滑,1.0
去屑,和 控油 两组 搭配 挺-,好,1.0
气味,挺-,香,4.0
商品,气味 味道 比较-,淡,1.0
发丝,头皮 和+,清洁,2.0
体验,的 使用+,愉悦,1.0
洗完,的 头发 挺-,清爽,1.0
头发,非常 的-,柔顺,1.0
控油,效果-,很好,1.0
头皮,感觉 很-,舒服,3.0
洗发水,洗 过 以后-,确实,1.0
